Element,Grundlage
https://test.schema-repository.fitko.dev/fields/baukasten/F60000230/2.0,§ 5 (2) Nr. 1 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.geburtsname vom 31.01.2020
https://test.schema-repository.fitko.dev/fields/baukasten/F60000227/1.1,§ 5 (2) Nr. 1 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.familienname vom 31.01.2020
https://test.schema-repository.fitko.dev/fields/baukasten/F00002946/1.0, 
https://test.schema-repository.fitko.dev/groups/baukasten/G00001826/1.0,"§ 20 (3) Nr. 4 AufenthG
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000248/1.1,XInneres.Meldeanschrift.zusatzangaben Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000248/1.1,XInneres.Meldeanschrift.zusatzangaben Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000244/1.2,XInneres.Meldeanschrift.hausnummer Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000244/1.2,XInneres.Meldeanschrift.hausnummer Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000244/1.2,XInneres.Meldeanschrift.hausnummer Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/2.2,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000228/2.0,"§ 5 (2) Nr. 2 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; 
Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.vorname vom 31.08.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000228/2.0,"§ 5 (2) Nr. 2 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; 
Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.vorname vom 31.08.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000228/2.0,"§ 5 (2) Nr. 2 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; 
Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.vorname vom 31.08.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000242/1.1,RFC 5322; RFC 5321
https://test.schema-repository.fitko.dev/fields/baukasten/F00003279/1.0,§ 19c (1) AufenthG; § 14 (1) BeschV
https://test.schema-repository.fitko.dev/groups/baukasten/G60000224/1.1,In Anlehnung an urn:xoev-de:xunternehmen:kerndatenobjekt:gesetzlichervertreter Version 1.1
https://test.schema-repository.fitko.dev/groups/baukasten/G60000087/2.1,"XInneres.PostalischeInlandsanschrift.Postfachanschrift Version 8
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002078/1.0,"§ 20 (1) - (2) AufenthG
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002079/1.0,"§ 20 (3) Nr. 1 AufenthG
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/2.2,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002083/1.0,"§ 21 (2a) - (3) AufenthG
"
https://test.schema-repository.fitko.dev/groups/baukasten/G60000083/2.0,"§ 5 (2) PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017;
Tabelle 9 BSI TR-03123 Version 1.5.1
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000242/1.1,RFC 5322; RFC 5321
https://test.schema-repository.fitko.dev/groups/baukasten/G00002071/1.0,"§§ 2 - 3, 5, 82 AufenthG"
https://test.schema-repository.fitko.dev/rules/baukasten/R60000021/3.1,"
"
https://test.schema-repository.fitko.dev/rules/baukasten/R60000021/3.1,"
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000241/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F60000243/1.2,XInneres.Meldeanschrift.strasse Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000243/1.2,XInneres.Meldeanschrift.strasse Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000243/1.2,XInneres.Meldeanschrift.strasse Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000240/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F60000261/2.1,"XMeld.type.AnschriftMelderecht.Ausland.staat Version 2.4.4; 
Codeliste laut Xmeld und DSMeld: Codeliste Destatis Staat (urn:de:bund:destatis:bevoelkerungsstatistik:schluessel:staat)"
https://test.schema-repository.fitko.dev/groups/baukasten/G60000223/1.1,in Anlehnung an urn:xoev-de:xunternehmen:kerndatenobjekt:gesetzlichervertreter Version 1.1
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/2.2,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/2.2,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F00002938/1.0,§ 19d (1) Nr. 1c AufenthG
https://test.schema-repository.fitko.dev/groups/baukasten/G60000086/2.1,urn:xoevde:xunternehmen:kerndatenobjekt:anschriftinlandstrassenanschrift
https://test.schema-repository.fitko.dev/fields/baukasten/F60000241/1.1,ITU E.123
https://test.schema-repository.fitko.dev/groups/baukasten/G60000083/2.0,"§ 5 (2) PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017;
Tabelle 9 BSI TR-03123 Version 1.5.1
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000235/1.3,"XMeld.type.AnschriftMelderecht.Ausland.staat Version 2.4.3; 
Codeliste laut XMeld und DSMeld: Codeliste Destatis Staat (urn:de:bund:destatis:bevoelkerungsstatistik:schluessel:staat)
"
https://test.schema-repository.fitko.dev/groups/baukasten/G60000087/2.1,"XInneres.PostalischeInlandsanschrift.Postfachanschrift Version 8
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002069/1.0,"§§ 18, 18a, 18b 18d, 18f, 19, 19b, 19c, 19d, 19e, 20, 21 AufenthG"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000261/2.1,"XMeld.type.AnschriftMelderecht.Ausland.staat Version 2.4.4; 
Codeliste laut Xmeld und DSMeld: Codeliste Destatis Staat (urn:de:bund:destatis:bevoelkerungsstatistik:schluessel:staat)"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002081/1.0,"§ 20 (3) Nr. 3 AufenthG
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002087/1.0,"§ 18f (1) AufenthG; S. 30-34 Richtlinie 2016/801 des Rates
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000319/1.3,XOEV.Kernkomponente.NameOrganisation.name vom 01.08.2017; XGewerbeanzeige.Betrieb.eingetragenerName Version 2.2; XUnternehmen.Kerndatenmodell.Eingetragener Name Version 1.1
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000086/2.1,urn:xoevde:xunternehmen:kerndatenobjekt:anschriftinlandstrassenanschrift
https://test.schema-repository.fitko.dev/groups/baukasten/G00002073/1.0,"§§ 18, 18b (1) AufenthG
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002074/1.0,"§§ 18, 18a AufenthG
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002075/1.0,"§ 19c (2) AufenthG 
"
https://test.schema-repository.fitko.dev/fields/baukasten/F00003284/1.0,"§§ 2 (3), 5 (1) Nr. 1 AufenthG"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000280/1.2,"§ 5 (2) Nr. 7 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002076/1.0,"§ 19d AufenthG
"
https://test.schema-repository.fitko.dev/rules/baukasten/R00002288/1.0,"§ 19d (1) Nr. 1 AufenthG
"
https://test.schema-repository.fitko.dev/groups/baukasten/G60000091/3.0,Xinneres.Auslandsanschrift.Druckbild Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000091/3.0,Xinneres.Auslandsanschrift.Druckbild Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000091/3.0,Xinneres.Auslandsanschrift.Druckbild Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F00003019/1.0,§ 8 (3) AufenthG
https://test.schema-repository.fitko.dev/fields/baukasten/F60000249/1.1,XInneres.PostalischeInlandsanschrift.postfach Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000092/2.0,XInneres.Auslandsanschrift.Druckbild.anschriftzone Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000092/2.0,XInneres.Auslandsanschrift.Druckbild.anschriftzone Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000092/2.0,XInneres.Auslandsanschrift.Druckbild.anschriftzone Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000261/2.1,"XMeld.type.AnschriftMelderecht.Ausland.staat Version 2.4.4; 
Codeliste laut Xmeld und DSMeld: Codeliste Destatis Staat (urn:de:bund:destatis:bevoelkerungsstatistik:schluessel:staat)"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000281/1.2,"§ 5 (2) Nr. 8 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1; verwendet Codeliste urn:de:xauslaender:codelist:azr:artderaugenfarbe Version 1

"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/2.2,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F00002955/1.0,"§ 20 (3) Nr. 2 AufenthG; S. 42 Richtlinie 2016/801 des Rates
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00001816/1.0,"§ 19c (3) AufenthG 
"
https://test.schema-repository.fitko.dev/groups/baukasten/G60000225/1.0,in Anlehnung an urn:xoev-de:xunternehmen:kerndatenobjekt:ansprechpartner Version 1.0
https://test.schema-repository.fitko.dev/fields/baukasten/F60000229/2.0,§ 5 (2) Nr. 3 PAuswG vom 21.6.2019; Tabelle 9 BSI TR-03123 Version 1.5.1 (dort als Titel); XMeld.type.NameNatuerlichePerson.doktorgrad Version 2.4.4
https://test.schema-repository.fitko.dev/groups/baukasten/G00002080/1.0,§ 20 (3) Nr. 2 AufenthG; S. 42 Richtlinie 2016/801 des Rates
https://test.schema-repository.fitko.dev/fields/baukasten/F60000262/1.1,XInneres.Auslandsanschrift.Anschriftzone.zeile.anschrift Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000262/1.1,XInneres.Auslandsanschrift.Anschriftzone.zeile.anschrift Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000249/1.1,XInneres.PostalischeInlandsanschrift.postfach Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000241/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F60000240/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F00002944/1.0,"§ 21 (1) AufenthG

"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000234/1.2,"§ 5 (2) Nr. 4 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017;
Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.Geburt.geburtsort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F00003018/1.0,"§§ 8 (3), 9 (2) Nr. 8, 18c (1) - (2), 26 (3) AufenthG 
 "
https://test.schema-repository.fitko.dev/groups/baukasten/G60000086/2.1,urn:xoevde:xunternehmen:kerndatenobjekt:anschriftinlandstrassenanschrift
https://test.schema-repository.fitko.dev/fields/baukasten/F60000240/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F60000249/1.1,XInneres.PostalischeInlandsanschrift.postfach Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000345/1.2,"§ 5 (1) De-Mail-G v. 20.11.2019; BSI TR 01201 Teil 2.1 Version 1.6 
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00001827/1.0,"§ 21 (1), (3) AufenthG
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000229/2.0,§ 5 (2) Nr. 3 PAuswG vom 21.6.2019; Tabelle 9 BSI TR-03123 Version 1.5.1 (dort als Titel); XMeld.type.NameNatuerlichePerson.doktorgrad Version 2.4.4
https://test.schema-repository.fitko.dev/fields/baukasten/F60000229/2.0,§ 5 (2) Nr. 3 PAuswG vom 21.6.2019; Tabelle 9 BSI TR-03123 Version 1.5.1 (dort als Titel); XMeld.type.NameNatuerlichePerson.doktorgrad Version 2.4.4
https://test.schema-repository.fitko.dev/fields/baukasten/F00002943/1.0,"
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000236/1.4,"XOEV.Kernkomponente.NatuerlichePerson.staatsangehoerigkeit vom 31.08.2020;
Codeliste laut XMeld und DSMeld: Codeliste Destatis Staatsangehörigkeit
(urn:de:bund:destatis:bevoelkerungsstatistik:schluessel:staatsangehörigkeit)"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000227/1.1,§ 5 (2) Nr. 1 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.familienname vom 31.01.2020
https://test.schema-repository.fitko.dev/groups/baukasten/G00001802/1.2,"§§ 2 - 3, 5, 78 AufenthG "
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/2.2,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F00000523/1.0,"Anlage 1.1, 1 TRGS 519, Nr. 17 (1) TRGS 519; Nr. 14 TRGS 519"
https://test.schema-repository.fitko.dev/groups/baukasten/G00000245/1.3,XInneres.Auslandsanschrift.Druckbild.anschriftzone Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G00000046/1.6,Xinneres.Auslandsanschrift.Druckbild Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F00000035/1.3,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1; Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F00000036/1.1,"XÖV-Kernkoponente.Anschrift.ortsteil;
XInneres 7: Meldeanschrift.WohnortFruehererGemeindename
XMeld 2.41: type.xmeldit.ortslisteneintrag.ortsteilname"
https://test.schema-repository.fitko.dev/fields/baukasten/F00002508/1.0,Anlage 1.4 TRGS 519
https://test.schema-repository.fitko.dev/fields/baukasten/F00000540/1.0,"Anhang I, Nr. 2.4.2 GefStoffV; Anlage 1.3 TRGS 519"
https://test.schema-repository.fitko.dev/fields/baukasten/F00000035/1.3,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1; Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
